Date,Type,Confirmation Code,Start Date,Nights,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Earnings Year
06/23/2022,Reservation,HMK52RHRDT,06/22/2022,4,PHP,4947,,153,350,2022
06/21/2022,Payout,,,,PHP,,2570.5,,,
06/21/2022,Reservation,HM4JTM9SZ2,06/20/2022,2,PHP,2570.5,,79.5,350,2022
06/19/2022,Payout,,,,PHP,,2859.56,,,
06/19/2022,Reservation,HMKPYF5DM9,06/18/2022,2,PHP,2859.56,,88.44,350,2022
06/14/2022,Payout,,,,PHP,,4267.03,,,
06/14/2022,Reservation,HMQTWM2TD9,06/13/2022,5,PHP,4267.03,,131.97,499,2022
06/12/2022,Payout,,,,PHP,,2724.73,,,
06/12/2022,Reservation,HMSQZQK54H,06/11/2022,2,PHP,2724.73,,84.27,350,2022
06/10/2022,Payout,,,,PHP,,1945.82,,,
06/10/2022,Reservation,HMJJYFHBH9,06/09/2022,2,PHP,1945.82,,60.18,350,2022
06/06/2022,Payout,,,,PHP,,5140.03,,,
06/06/2022,Reservation,HM52BWQRDS,06/05/2022,4,PHP,5140.03,,158.97,499,2022
06/05/2022,Payout,,,,PHP,,300,,,
06/05/2022,Resolution Payout,HMSHQF43PA,07/24/2022,2,PHP,300,,,,2022
06/01/2022,Payout,,,,PHP,,4355.3,,,
06/01/2022,Reservation,HMHXNZC3CQ,05/31/2022,5,PHP,4355.3,,134.7,350,2022
05/27/2022,Payout,,,,PHP,,5577.5,,,
05/27/2022,Reservation,HM923AKSTT,05/26/2022,5,PHP,5577.5,,172.5,350,2022
05/24/2022,Payout,,,,PHP,,3016.7,,,
05/24/2022,Reservation,HMBXYHYM52,05/23/2022,3,PHP,3016.7,,93.3,350,2022
05/20/2022,Payout,,,,PHP,,2205.63,,,
05/20/2022,Resolution Adjustment,HM3QSQPF4P,03/15/2020,33,PHP,-3709.29,,,,2022
05/20/2022,Reservation,HMTHR4KKR3,04/24/2020,3,PHP,56.95,,1.76,0,2022
05/20/2022,Misc Credit,,,,USD,12.03,,,,2022
05/20/2022,Reservation,HMB2EFJPRN,05/19/2022,4,PHP,5228.3,,161.7,350,2022
04/19/2020,Payout,,,,PHP,,3152.9,,,
04/19/2020,Reservation,HM3QSQPF4P,03/15/2020,33,PHP,844.01,,26.1,10.7,2020
04/19/2020,Reservation,HM3QSQPF4P,03/15/2020,33,PHP,2308.89,,71.41,29.26,2020
04/13/2020,Payout,,,,PHP,,15014.66,,,
04/13/2020,Adjustment,HMB9EACSNX,03/15/2020,13,PHP,-14880.34,,0,0,2020
04/13/2020,Reservation,HM3QSQPF4P,03/15/2020,33,PHP,29895,,924.59,378.9,2020
03/16/2020,Payout,,,,PHP,,21282.34,,,
03/16/2020,Reservation,HM3QSQPF4P,03/15/2020,33,PHP,6402,,198,81.14,2020
03/16/2020,Reservation,HMB9EACSNX,03/15/2020,13,PHP,14880.34,,0,0,2020
03/15/2020,Payout,,,,PHP,,1905.7,,,
03/15/2020,Resolution Payout,HMJDKFRQ2N,03/14/2020,1,PHP,150,,,,2020
